video_path,shoulder_r_x,shoulder_r_y,shoulder_r_z,elbow_r_x,elbow_r_y,elbow_r_z,wrist_r_x,wrist_r_y,wrist_r_z,thumb_r_x,thumb_r_y,thumb_r_z,index_r_x,index_r_y,index_r_z,middle_r_x,middle_r_y,middle_r_z,ring_r_x,ring_r_y,ring_r_z,pinky_r_x,pinky_r_y,pinky_r_z,movement_label,range_label
Videos\Persona1\abduccion_completo.mp4,0.4000042974948883,0.4510539174079895,0.03365606442093849,0.3778672218322754,0.6007257103919983,0.05521467328071594,0.3404999375343323,0.7421804666519165,-0.07527446001768112,,,,,,,,,,,,,,,,abduccion,completo
Videos\Persona1\abduccion_completo.mp4,0.3953346014022827,0.4545058310031891,0.047117285430431366,0.3703386187553406,0.6132375001907349,0.0668414905667305,0.33576685190200806,0.7589291930198669,-0.06021207571029663,,,,,,,,,,,,,,,,abduccion,completo
Videos\Persona1\abduccion_completo.mp4,0.3948407769203186,0.45513635873794556,0.035362668335437775,0.3710203766822815,0.6129475831985474,0.056144796311855316,0.33612266182899475,0.759878396987915,-0.07659538090229034,,,,,,,,,,,,,,,,abduccion,completo
Videos\Persona1\abduccion_completo.mp4,0.3952972888946533,0.4555157423019409,0.024851366877555847,0.37120455503463745,0.612043023109436,0.04567297548055649,0.3363574147224426,0.7580029964447021,-0.0775139182806015,,,,,,,,,,,,,,,,abduccion,completo
Videos\Persona1\abduccion_completo.mp4,0.39494726061820984,0.4556146264076233,0.021351194009184837,0.37021690607070923,0.6134406328201294,0.04003668576478958,0.33630362153053284,0.7615553736686707,-0.08436579257249832,,,,,,,,,,,,,,,,abduccion,completo
Videos\Persona1\abduccion_completo.mp4,0.3953765034675598,0.4556404650211334,0.029158184304833412,0.3697896897792816,0.6120017766952515,0.04998626559972763,0.33692172169685364,0.75523841381073,-0.07626881450414658,,,,,,,,,,,,,,,,abduccion,completo
Videos\Persona1\abduccion_completo.mp4,0.395209938287735,0.4557309150695801,0.023798255249857903,0.36916303634643555,0.6127208471298218,0.04173478111624718,0.33609551191329956,0.7548021078109741,-0.08024723827838898,,,,,,,,,,,,,,,,abduccion,completo
Videos\Persona1\abduccion_completo.mp4,0.3953422009944916,0.45561522245407104,0.02746344543993473,0.3686334192752838,0.612987756729126,0.046476252377033234,0.33583953976631165,0.7575395107269287,-0.07583024352788925,,,,,,,,,,,,,,,,abduccion,completo
Videos\Persona1\abduccion_completo.mp4,0.39531856775283813,0.455474853515625,0.03583411127328873,0.3684719204902649,0.6130797266960144,0.05495510622859001,0.33634069561958313,0.7579253315925598,-0.06923635303974152,,,,,,,,,,,,,,,,abduccion,completo
Videos\Persona1\abduccion_completo.mp4,0.3949660360813141,0.45545610785484314,0.03314649313688278,0.3683224320411682,0.61494380235672,0.050994932651519775,0.3361431956291199,0.7587422132492065,-0.07481222599744797,,,,,,,,,,,,,,,,abduccion,completo
Videos\Persona1\abduccion_completo.mp4,0.394631564617157,0.4554342031478882,0.03006342053413391,0.36859914660453796,0.615845799446106,0.04668497294187546,0.3361053466796875,0.7596601843833923,-0.07629497349262238,,,,,,,,,,,,,,,,abduccion,completo
Videos\Persona1\abduccion_completo.mp4,0.39389529824256897,0.4558796286582947,0.03195749595761299,0.3685370683670044,0.6176464557647705,0.04391932114958763,0.3364342153072357,0.7627019882202148,-0.08006221055984497,,,,,,,,,,,,,,,,abduccion,completo
Videos\Persona1\abduccion_completo.mp4,0.393524706363678,0.4560435712337494,0.024963442236185074,0.36868351697921753,0.6188626885414124,0.03480081632733345,0.3375576138496399,0.7647167444229126,-0.08298547565937042,,,,,,,,,,,,,,,,abduccion,completo
